Id,Id2,Geography,Estimate; Total:,Estimate; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher
8600000US11234,11234, 11234,31926,21678,1676,5483,5649,8870,10248,1261,3215,2886,2886
8600000US11235,11235, 11235,32828,13432,1095,2167,2354,7816,19396,2440,4447,4435,8074
8600000US11236,11236, 11236,32903,16010,1678,3933,4577,5822,16893,2433,5370,5047,4043
8600000US11237,11237, 11237,16789,1693,424,284,243,742,15096,4596,2963,2933,4604
8600000US11238,11238, 11238,24510,7190,235,558,1103,5294,17320,1708,2583,2966,10063
8600000US11239,11239, 11239,6569,154,13,47,62,32,6415,1535,1956,1667,1257
8600000US11351,11351, 11351,0,0,0,0,0,0,0,0,0,0,0
8600000US11354,11354, 11354,20299,8026,1303,1861,2100,2762,12273,3141,4003,3150,1979
8600000US11355,11355, 11355,27523,8529,2073,1983,1672,2801,18994,5517,5895,4247,3335
8600000US11356,11356, 11356,7541,3626,466,1222,957,981,3915,956,1312,1053,594
8600000US11357,11357, 11357,14735,11227,1355,2811,2512,4549,3508,386,677,964,1481
8600000US11358,11358, 11358,12820,7173,748,1700,1665,3060,5647,823,1370,1891,1563
8600000US11359,11359, 11359,0,0,0,0,0,0,0,0,0,0,0
8600000US11360,11360, 11360,8382,5925,410,1102,1290,3123,2457,105,298,510,1544
8600000US11361,11361, 11361,10378,6008,593,1118,1418,2879,4370,278,926,1239,1927
8600000US11362,11362, 11362,7163,5740,275,1125,1508,2832,1423,235,422,214,552
