GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
8600000US13083,13083,ZCTA5 13083,1341,131,112,35,545,98,443,89,139,46,102,34,1197,127,98,31,488,89,400,84,109,39,102,34,92,48,14,13,46,36,13,15,19,20,0,11,50,33,0,11,11,12,30,26,9,11,0,11,2,5,0,11,0,11,0,11,2,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13084,13084,ZCTA5 13084,2567,421,112,66,618,188,957,266,496,190,384,117,2350,394,108,64,590,180,830,243,453,182,369,123,115,90,4,8,28,31,58,42,25,44,0,11,73,46,0,11,0,11,53,40,5,6,15,22,29,30,0,11,0,11,16,27,13,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13087,13087,ZCTA5 13087,128,120,0,11,19,20,17,11,49,66,43,53,125,120,0,11,19,20,17,11,49,66,40,53,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,3,4
8600000US13088,13088,ZCTA5 13088,16845,566,1210,243,4939,472,5211,456,3313,392,2172,259,15321,517,1116,242,4621,455,4698,407,2941,359,1945,250,1025,264,56,40,264,125,304,152,249,103,152,84,219,97,9,14,35,26,96,76,61,54,18,20,154,95,12,20,0,21,52,44,40,34,50,41,126,93,17,27,19,26,61,65,22,26,7,12
8600000US13090,13090,ZCTA5 13090,20943,546,1032,219,5090,418,6480,466,4883,381,3458,377,18954,527,924,222,4674,399,5802,466,4348,365,3206,353,1427,284,72,47,268,124,516,151,398,118,173,72,287,118,16,17,108,57,69,46,58,44,36,38,257,121,12,20,31,35,92,56,79,53,43,61,18,19,8,14,9,14,1,2,0,21,0,21
8600000US13092,13092,ZCTA5 13092,1742,187,229,86,651,92,495,100,247,64,120,37,1644,190,215,86,599,88,491,100,231,63,108,34,70,48,11,11,40,32,0,11,10,15,9,13,25,16,3,4,12,11,4,5,3,4,3,4,3,4,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13101,13101,ZCTA5 13101,1653,172,145,45,686,113,546,103,204,86,72,32,1425,165,125,38,619,106,442,90,174,80,65,29,165,71,17,21,39,31,97,62,8,14,4,6,60,47,3,4,28,28,7,8,22,26,0,11,3,6,0,11,0,11,0,11,0,11,3,6,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13102,13102,ZCTA5 13102,20,31,10,16,10,15,0,11,0,11,0,11,20,31,10,16,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13103,13103,ZCTA5 13103,232,119,24,27,123,64,43,34,42,57,0,11,220,113,24,27,123,64,31,28,42,57,0,11,12,19,0,11,0,11,12,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13104,13104,ZCTA5 13104,11006,519,283,151,1475,314,2507,381,3240,317,3501,362,9961,564,212,130,1407,308,2225,374,2910,299,3207,355,610,179,35,45,49,49,184,116,160,76,182,75,153,75,0,18,9,15,36,30,65,54,43,39,211,121,0,18,10,15,54,49,92,59,55,45,71,40,36,24,0,18,8,12,13,21,14,22
8600000US13108,13108,ZCTA5 13108,4262,168,71,33,1068,164,1433,183,1062,175,628,114,4078,180,67,32,1033,159,1401,181,1008,168,569,117,130,52,4,6,18,16,32,25,34,26,42,34,32,40,0,16,5,8,0,16,15,20,12,20,18,17,0,16,8,9,0,16,5,7,5,7,4,6,0,16,4,6,0,16,0,16,0,16
8600000US13110,13110,ZCTA5 13110,1714,166,99,42,449,93,580,94,356,82,230,66,1618,157,99,42,441,89,564,91,321,82,193,62,78,64,0,11,3,5,10,13,28,26,37,37,18,18,0,11,5,8,6,8,7,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13111,13111,ZCTA5 13111,1149,225,148,71,639,162,232,93,80,45,50,27,1118,225,148,71,623,164,225,93,72,43,50,27,0,11,0,11,0,11,0,11,0,11,0,11,31,34,0,11,16,17,7,11,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13112,13112,ZCTA5 13112,1275,210,74,66,456,163,442,126,108,72,195,89,1250,203,74,66,441,161,432,123,108,72,195,89,15,22,0,11,15,22,0,11,0,11,0,11,10,16,0,11,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13113,13113,ZCTA5 13113,172,57,17,15,45,22,75,29,26,25,9,9,164,56,17,15,45,22,67,26,26,25,9,9,8,13,0,11,0,11,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13114,13114,ZCTA5 13114,4422,265,533,167,1607,218,1440,204,472,139,370,97,4045,287,495,164,1415,209,1365,203,425,132,345,96,303,107,16,18,173,80,50,35,47,30,17,18,61,37,19,23,19,23,15,14,0,16,8,13,3,4,3,4,0,16,0,16,0,16,0,16,10,16,0,16,0,16,10,16,0,16,0,16
8600000US13115,13115,ZCTA5 13115,124,55,6,9,57,32,30,26,27,34,4,7,98,42,4,7,56,31,30,26,4,6,4,7,26,34,2,4,1,2,0,11,23,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
