Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree
8600000US14559,14559, 14559,13047,585,3119,4545,2852,1946,11862,584,2937,4024,2493,1824,964,1,180,397,286,100,71,0,2,17,52,0,134,0,0,107,21,6,16,0,0,0,0,16
8600000US14560,14560, 14560,1623,220,538,463,242,160,1509,212,497,418,233,149,78,8,29,37,0,4,21,0,6,8,3,4,12,0,6,0,6,0,3,0,0,0,0,3
8600000US14561,14561, 14561,2034,97,632,713,388,204,1881,97,607,634,351,192,75,0,12,48,15,0,48,0,13,15,8,12,14,0,0,0,14,0,16,0,0,16,0,0
8600000US14564,14564, 14564,10320,335,1875,2457,3015,2638,9345,294,1793,2181,2667,2410,396,37,29,167,90,73,487,4,53,82,258,90,92,0,0,27,0,65,0,0,0,0,0,0
8600000US14568,14568, 14568,3907,135,1023,1274,970,505,3682,135,983,1188,893,483,56,0,11,29,16,0,139,0,29,49,39,22,30,0,0,8,22,0,0,0,0,0,0,0
8600000US14569,14569, 14569,4272,576,1604,1448,371,273,3853,489,1443,1350,365,206,307,87,62,91,0,67,92,0,79,7,6,0,20,0,20,0,0,0,0,0,0,0,0,0
8600000US14571,14571, 14571,807,121,279,290,46,71,768,111,269,280,37,71,16,6,10,0,0,0,19,0,0,10,9,0,4,4,0,0,0,0,0,0,0,0,0,0
8600000US14572,14572, 14572,3677,437,1630,1135,259,216,3541,428,1541,1104,256,212,79,3,48,28,0,0,41,6,28,0,3,4,9,0,6,3,0,0,7,0,7,0,0,0
8600000US14580,14580, 14580,37072,1813,7476,10603,9451,7729,33931,1598,6845,9968,8602,6918,2193,169,524,488,460,552,435,25,90,92,174,54,290,0,17,48,120,105,223,21,0,7,95,100
8600000US14585,14585, 14585,83,11,39,11,22,0,77,11,33,11,22,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US14586,14586, 14586,7128,487,1550,1914,1753,1424,6478,444,1388,1731,1620,1295,332,36,106,88,41,61,192,7,36,56,66,27,76,0,20,31,13,12,50,0,0,8,13,29
8600000US14588,14588, 14588,606,216,279,102,0,9,245,65,138,42,0,0,0,0,0,0,0,0,348,151,137,60,0,0,13,0,4,0,0,9,0,0,0,0,0,0
8600000US14589,14589, 14589,5313,652,1855,1716,604,486,4920,585,1744,1535,584,472,296,48,97,144,7,0,34,0,14,20,0,0,45,2,0,17,13,13,18,17,0,0,0,1
8600000US14590,14590, 14590,3530,537,1472,946,294,281,3219,439,1366,892,274,248,195,63,70,33,1,28,77,19,28,10,15,5,38,16,7,11,4,0,1,0,1,0,0,0
8600000US14591,14591, 14591,1091,84,352,364,161,130,1041,81,342,339,155,124,16,1,6,9,0,0,28,2,4,10,6,6,6,0,0,6,0,0,0,0,0,0,0,0
8600000US14592,14592, 14592,193,0,124,24,11,34,193,0,124,24,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US14604,14604, 14604,1671,330,365,451,241,284,1129,208,285,240,208,188,380,54,64,181,33,48,13,0,0,13,0,0,85,4,16,17,0,48,64,64,0,0,0,0
8600000US14605,14605, 14605,6964,2105,2024,1970,616,249,5649,1775,1651,1580,418,225,1102,273,324,367,130,8,103,30,24,19,30,0,66,22,11,0,17,16,44,5,14,4,21,0
8600000US14606,14606, 14606,18598,3662,6234,5702,1902,1098,16495,3144,5592,5207,1579,973,1503,315,516,406,203,63,372,70,84,66,107,45,132,60,36,23,13,0,96,73,6,0,0,17
8600000US14607,14607, 14607,12530,801,1974,2973,3826,2956,9044,599,1510,2066,2695,2174,2664,160,433,732,896,443,452,36,4,125,133,154,316,0,15,50,102,149,54,6,12,0,0,36
8600000US14608,14608, 14608,7511,1777,2439,1915,864,516,5898,1374,1964,1454,704,402,1233,371,378,359,81,44,169,0,51,33,69,16,134,19,30,36,10,39,77,13,16,33,0,15
8600000US14609,14609, 14609,28529,4234,8661,8757,4103,2774,24832,3631,7426,7770,3489,2516,3005,480,991,839,508,187,328,55,42,89,87,55,123,15,20,53,19,16,241,53,182,6,0,0
8600000US14610,14610, 14610,11178,619,1543,2447,3254,3315,9708,554,1258,2185,2639,3072,1060,65,215,226,431,123,233,0,41,16,119,57,128,0,0,14,65,49,49,0,29,6,0,14
