GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Margin of Error; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Margin of Error; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Margin of Error; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Margin of Error; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Margin of Error; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Margin of Error; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Margin of Error; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher,Margin of Error; Renter-occupied housing units: - Bachelor's degree or higher
8600000US14445,14445,ZCTA5 14445,3425,210,1908,196,97,65,362,96,657,136,792,150,1517,159,119,65,388,137,563,114,447,124
8600000US14450,14450,ZCTA5 14450,16982,352,13200,450,182,84,1416,227,3172,370,8430,528,3782,332,321,127,956,190,1098,216,1407,243
8600000US14454,14454,ZCTA5 14454,3321,209,1701,156,61,40,297,108,391,101,952,129,1620,208,184,106,510,157,733,161,193,114
8600000US14456,14456,ZCTA5 14456,7768,330,4646,267,307,106,1206,183,1564,184,1569,198,3122,256,596,158,891,155,984,183,651,166
8600000US14462,14462,ZCTA5 14462,204,41,173,39,16,13,40,18,57,26,60,24,31,19,13,15,5,6,13,10,0,11
8600000US14464,14464,ZCTA5 14464,2763,170,2449,169,98,52,774,152,944,155,633,120,314,91,22,24,184,84,78,40,30,20
8600000US14466,14466,ZCTA5 14466,700,175,636,188,0,11,168,78,356,171,112,77,64,48,17,27,23,21,24,31,0,11
8600000US14467,14467,ZCTA5 14467,4026,224,2608,209,148,95,540,146,788,163,1132,196,1418,215,111,73,588,203,455,165,264,117
8600000US14468,14468,ZCTA5 14468,6659,292,5564,356,126,74,1417,199,2196,273,1825,261,1095,199,56,37,430,151,479,157,130,70
8600000US14469,14469,ZCTA5 14469,2520,182,2152,177,112,50,597,110,838,109,605,155,368,82,27,24,113,51,203,71,25,17
8600000US14470,14470,ZCTA5 14470,3216,160,2556,142,254,96,964,141,841,130,497,108,660,132,187,91,320,102,129,39,24,17
8600000US14471,14471,ZCTA5 14471,990,138,804,130,51,41,259,85,236,99,258,76,186,82,12,22,87,53,10,13,77,61
8600000US14472,14472,ZCTA5 14472,3178,148,2515,161,69,42,265,100,733,149,1448,160,663,150,42,31,164,81,285,84,172,75
8600000US14475,14475,ZCTA5 14475,108,24,103,24,0,11,9,10,19,15,75,25,5,8,0,11,0,11,0,11,5,8
8600000US14476,14476,ZCTA5 14476,878,98,687,78,32,19,224,52,262,54,169,44,191,85,12,21,35,31,125,75,19,17
8600000US14477,14477,ZCTA5 14477,642,111,560,109,20,19,234,76,155,62,151,87,82,46,0,11,39,43,43,32,0,11
8600000US14478,14478,ZCTA5 14478,244,69,230,64,10,15,81,44,43,31,96,46,14,22,0,11,0,11,14,22,0,11
8600000US14479,14479,ZCTA5 14479,94,49,85,48,20,24,49,46,16,18,0,11,9,14,9,14,0,11,0,11,0,11
8600000US14480,14480,ZCTA5 14480,360,130,250,122,0,11,143,105,53,41,54,48,110,96,0,11,60,72,50,69,0,11
8600000US14481,14481,ZCTA5 14481,817,88,614,75,30,16,232,53,214,49,138,35,203,67,42,34,102,49,23,15,36,32
8600000US14482,14482,ZCTA5 14482,3509,175,2520,218,154,67,858,168,763,126,745,154,989,176,165,114,288,108,408,126,128,71
8600000US14485,14485,ZCTA5 14485,1646,137,1259,119,48,27,308,88,434,92,469,87,387,81,20,20,129,53,195,71,43,23
8600000US14486,14486,ZCTA5 14486,158,38,148,38,0,11,35,23,69,37,44,29,10,14,0,11,10,14,0,11,0,11
8600000US14487,14487,ZCTA5 14487,2356,254,1939,222,106,65,406,142,731,167,696,164,417,158,88,114,116,75,127,75,86,100
8600000US14489,14489,ZCTA5 14489,2731,202,1930,187,200,94,757,140,609,146,364,106,801,189,89,62,343,109,240,112,129,120
8600000US14502,14502,ZCTA5 14502,4204,164,3464,178,164,83,722,143,1222,185,1356,159,740,120,110,70,245,70,296,108,89,48
8600000US14504,14504,ZCTA5 14504,781,103,571,85,67,35,208,49,206,51,90,37,210,59,11,19,89,42,71,31,39,21
8600000US14505,14505,ZCTA5 14505,2004,140,1740,158,158,75,682,140,482,128,418,103,264,80,41,29,128,67,66,46,29,37
8600000US14506,14506,ZCTA5 14506,529,82,529,82,0,11,44,65,101,83,384,79,0,11,0,11,0,11,0,11,0,11
8600000US14507,14507,ZCTA5 14507,498,59,413,55,27,15,106,31,136,37,144,38,85,34,16,17,9,8,60,29,0,11
8600000US14510,14510,ZCTA5 14510,1859,184,1229,152,184,82,388,102,437,113,220,82,630,141,96,61,191,78,266,108,77,43
8600000US14511,14511,ZCTA5 14511,221,98,150,71,0,11,0,11,120,67,30,28,71,71,0,11,0,11,29,31,42,64
8600000US14512,14512,ZCTA5 14512,1949,113,1661,98,64,27,484,70,586,88,527,79,288,64,35,19,146,52,75,32,32,18
8600000US14513,14513,ZCTA5 14513,5827,293,3695,256,162,67,1415,206,1162,206,956,198,2132,211,206,86,866,203,839,180,221,103
8600000US14514,14514,ZCTA5 14514,2623,175,1802,187,39,36,325,117,569,143,869,150,821,156,68,49,242,105,342,142,169,79
8600000US14516,14516,ZCTA5 14516,938,95,824,95,88,60,264,63,282,75,190,53,114,50,20,26,67,46,23,23,4,6
